variable,mean,sd,2.5%,97.5%,rhat,ess_bulk
delta,0.3239821461375,0.05821563905866498,0.21668371174999998,0.44396951100000004,1.072919695443419,35.19726549907442
phi1,1.03604741280805,0.612512482623315,0.13286492125,1.74027774,2.1434325438612554,5.266276972771167
phi2,-0.36075308614111323,0.2941003880835406,-0.751768515,0.08037258702500003,1.908015418881217,5.628611590968384
pacf1,0.698144156602075,0.31940295251439027,0.12776226850000003,0.9982416635,2.09734949429122,5.2850607170634065
pacf2,-0.36075308614111323,0.2941003880835406,-0.751768515,0.08037258702500003,1.908015418881217,5.628611590968384
kappa1,-0.2099701650857,0.06640663799005311,-0.32140409775,-0.07279470699999994,1.3520305264301826,9.364776236722259
kappa2,-0.0461446908710875,0.1835223312990474,-0.21198134225,0.3864359262500001,2.0287496990838205,5.371337125748872
theta1,0.24579332339318,0.12307096520489509,0.004652475045000001,0.38462543475,1.5690817736545497,6.95328718526893
theta2,-0.2212406966688775,0.2922727134596399,-0.9796335104999999,-0.005985037384999995,1.715727092249201,6.206102389116249
"sigma[1,1]",1.40933908686,0.1416896311320805,1.1532147025,1.7198354025,1.057694076226859,46.535477135975235
"sigma[1,2]",0.3637785712375,0.0553112817234488,0.26513696849999996,0.46746482925000005,1.5279242496362515,7.1773103441425015
"sigma[1,3]",0.27173592849,0.027863413524779324,0.22011693100000002,0.32900781575000004,1.009462309951186,3100.872043001814
"sigma[1,4]",0.179085417000242,0.12045467823144108,0.0044661281825,0.42454493350000005,1.3880196801688391,8.871272164473876
"sigma[2,1]",0.71781608461,0.191619457331725,0.49005066750000004,1.1030102550000003,2.054221677697997,5.322390471025059
"sigma[2,2]",0.2331465945325,0.038842965758138906,0.176306401,0.2983781425,1.8302165173262768,5.789685207265886
"sigma[2,3]",0.202027850445,0.01689140921379314,0.16817533875000001,0.2341851295,1.259726862039073,11.33025100153725
"sigma[2,4]",0.165936601655,0.0680959838932378,0.0502896819,0.3217243172500001,1.4624615598223687,7.931985942040457
rho[1],-0.06917487889670874,0.3365875190669288,-0.681625349,0.6247237210000001,1.026846481305282,176.99515940399638
rho[2],-0.2583272581820625,0.49805083692960944,-0.9674625342500001,0.608794935,1.969831913450146,5.496700012475308
nu,4.28984932645,2.1271953673621455,2.0688520875000003,9.691457997500002,1.7868280437878832,6.098100929503418
